City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,San Ramon,US,37.7799,-121.978,62.94,50,0,10.36,clear sky
199,Ondjiva,AO,-17.0667,15.7333,67.06,77,81,3.67,broken clouds
200,Aksu,CN,41.1231,80.2644,60.12,26,88,7.43,overcast clouds
201,Saint-Philippe,RE,-21.3585,55.7679,74.79,89,78,15.19,light rain
202,Yeppoon,AU,-23.1333,150.7333,71.38,70,32,14.36,scattered clouds
203,Cherskiy,RU,68.75,161.3,8.74,84,98,7.2,overcast clouds
204,Sunrise Manor,US,36.2111,-115.0731,71.69,7,0,16.11,clear sky
205,East London,ZA,-33.0153,27.9116,68.61,86,30,6.46,scattered clouds
206,Jalu,LY,29.0331,21.5482,67.21,23,55,18.14,broken clouds
207,Panjab,AF,34.388,67.0233,43.72,59,0,4.27,clear sky
208,Brigantine,US,39.4101,-74.3646,71.8,73,0,10.36,clear sky
209,Kushiro,JP,42.975,144.3747,34.75,75,20,3.44,few clouds
210,Tura,IN,25.5198,90.2201,72.01,96,99,7.96,overcast clouds
211,Mount Gambier,AU,-37.8333,140.7667,51.71,87,100,8.05,overcast clouds
212,Vilhena,BR,-12.7406,-60.1458,80.82,74,40,4.61,heavy intensity rain
213,Davila,PH,18.4726,120.5763,75.18,78,41,3.62,scattered clouds
214,Rochegda,RU,62.8,43.25,32.63,92,100,8.03,overcast clouds
215,Vanimo,PG,-2.6741,141.3028,82.98,71,77,4.88,broken clouds
216,Naryan-Mar,RU,67.6713,53.087,27.72,97,100,16.06,snow
217,Ust-Nera,RU,64.5667,143.2,7.14,96,89,2.37,overcast clouds
218,Tarboro,US,35.8968,-77.5358,82.78,36,0,8.05,clear sky
219,Bethel,US,41.3712,-73.414,74.25,60,0,5.75,clear sky
220,Beloha,MG,-25.1667,45.05,74.19,66,66,5.79,broken clouds
221,Tabuny,RU,52.7773,78.7896,37.85,77,2,11.83,clear sky
222,Broken Hill,AU,-31.95,141.4333,60.51,48,1,9.22,clear sky
223,Kerrobert,CA,51.9168,-109.1348,23.05,59,100,16.22,overcast clouds
224,Penalva,BR,-3.2942,-45.1736,74.77,97,97,2.66,overcast clouds
225,Isiolo,KE,0.3546,37.5822,67.84,77,60,5.35,broken clouds
226,Wanaka,NZ,-44.7,169.15,55.98,47,19,1.23,few clouds
227,Salinopolis,BR,-0.6136,-47.3561,78.31,89,99,8.7,light rain
228,Kudahuvadhoo,MV,2.6708,72.8944,84.22,74,100,13.62,overcast clouds
229,Eirunepe,BR,-6.6603,-69.8736,77.67,89,73,1.03,broken clouds
230,Esperance,AU,-33.8667,121.9,60.64,82,100,15.35,overcast clouds
231,Yar-Sale,RU,66.8333,70.8333,33.01,100,100,3.69,overcast clouds
232,Santa Fe,AR,-31.6333,-60.7,61.02,84,0,6.38,light rain
233,Aklavik,CA,68.2191,-135.0107,14.0,44,20,10.36,few clouds
234,Goderich,CA,43.7501,-81.7165,61.12,88,100,17.27,light rain
235,Myitkyina,MM,25.3833,97.4,68.94,95,50,2.82,scattered clouds
236,Pontes E Lacerda,BR,-15.2261,-59.3353,75.65,93,39,2.26,scattered clouds
