City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Nacala,MZ,75.34,few clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
523,Poso,ID,79.79,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
527,Itororo,BR,75.02,light rain,-15.1169,-40.0703,Hotel Indiana
528,Sokoni,TZ,80.49,light rain,-6.4333,39.55,Ujamaa Beach Resort
530,Ransang,PH,80.02,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
535,Singaraja,ID,78.62,few clouds,-8.112,115.0882,Puri Bagus Lovina Resort
536,Adjumani,UG,72.16,overcast clouds,3.3779,31.7909,Hotel Zawadi
542,Ixtapa,MX,86.81,scattered clouds,20.7,-105.2,hotel la terminal
544,Charters Towers,AU,76.5,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
545,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
547,Niltepec,MX,87.57,overcast clouds,16.5667,-94.6167,Hotel Palma Real
548,Chhabra,IN,81.9,clear sky,24.6667,76.8333,"मालव समाज धर्मशाला, छबड़ा ।"
550,Tomatlan,MX,88.59,overcast clouds,19.9333,-105.25,El Salvial
551,Padang,ID,77.31,overcast clouds,-0.9492,100.3543,Mercure Padang
555,Damaturu,NG,88.65,overcast clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
559,Mombasa,KE,79.02,light rain,-4.0547,39.6636,New Palm Tree Hotel
561,Banjar,ID,75.99,few clouds,-8.19,114.9675,The Hamsa Resort
563,Marigot,MF,80.38,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
564,Kudligi,IN,80.37,overcast clouds,14.9,76.3833,BARKATH MANSION
566,Le Port,RE,77.0,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
568,Bandarbeyla,SO,80.06,clear sky,9.4942,50.8122,JABIR HOTEL
569,Thinadhoo,MV,83.53,broken clouds,0.5333,72.9333,
574,Omboue,GA,77.76,overcast clouds,-1.5746,9.2618,Hotel Olako
576,Kulhudhuffushi,MV,83.14,light rain,6.6221,73.07,Haajy Guest House 1
577,Gushikawa,JP,74.43,few clouds,26.3544,127.8686,Kirari Guest House
579,Ormara,PK,78.98,clear sky,25.2088,64.6357,Kenara Colony house for Rent
580,Quevedo,EC,77.49,moderate rain,-1.0333,-79.45,Hotel Tuistico Ejecutivo
581,Hargeysa,SO,72.03,overcast clouds,9.56,44.065,City Center Hotel
582,Del Rio,US,93.6,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
583,High Rock,BS,76.12,overcast clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
584,Lafia,NG,82.65,broken clouds,8.4833,8.5167,Low Cost Housing Estate
585,Kieta,PG,84.47,light rain,-6.2167,155.6333,Uruna Bay Retreat
586,Faanui,PF,81.39,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
588,Prado,BR,77.83,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
589,Kokopo,PG,82.99,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
593,Meulaboh,ID,76.28,broken clouds,4.1363,96.1285,Kost Pria
594,Buchanan,LR,78.85,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
596,Ilebo,CD,74.19,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
